dataset,method,method_label,buffer,seed,final_avg_acc,avg_forgetting
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,2,0.10289999999999999,0.5715999999999999
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,3,0.14179999999999998,0.5632
split_cifar10,reservoir_uniform,Reservoir + Uniform,200,4,0.1517,0.572
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,0,0.1412,0.5660000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,1,0.1416,0.5059
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,2,0.1248,0.5659000000000001
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,3,0.14850000000000002,0.5648
split_cifar10,reservoir_entropy,Reservoir + Entropy-priority,200,4,0.1544,0.5473
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,0,0.1452,0.5535
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,1,0.1519,0.5193
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,2,0.16190000000000002,0.5335
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,3,0.12689999999999999,0.5434
split_cifar10,reservoir_ig,Reservoir + IG-priority,200,4,0.1625,0.5820000000000001
