dataset,method,method_label,buffer,seed,final_avg_acc,avg_forgetting
split_mnist,reservoir_ig,Reservoir + IG-priority,100,1,0.7221736505142451,0.2652948305415981
split_mnist,reservoir_ig,Reservoir + IG-priority,100,2,0.6521311101145316,0.33235203711412725
split_mnist,reservoir_ig,Reservoir + IG-priority,100,3,0.6857217511111129,0.30176298577663496
split_mnist,reservoir_ig,Reservoir + IG-priority,100,4,0.6676998574330442,0.31997356638947366
split_mnist,reservoir_uniform,Reservoir + Uniform,200,0,0.7950784510148015,0.19220380014307098
split_mnist,reservoir_uniform,Reservoir + Uniform,200,1,0.8071359252010847,0.17738502911904186
split_mnist,reservoir_uniform,Reservoir + Uniform,200,2,0.7864561281013447,0.19907205611472573
split_mnist,reservoir_uniform,Reservoir + Uniform,200,3,0.768830703106279,0.21740180615042534
split_mnist,reservoir_uniform,Reservoir + Uniform,200,4,0.7853063818414107,0.20123474664446156
split_mnist,reservoir_entropy,Reservoir + Entropy-priority,200,0,0.7421385994227536,0.2417510985712265
split_mnist,reservoir_entropy,Reservoir + Entropy-priority,200,1,0.8059146675257807,0.18144240444493176
split_mnist,reservoir_entropy,Reservoir + Entropy-priority,200,2,0.788860793310933,0.19436246286429476
split_mnist,reservoir_entropy,Reservoir + Entropy-priority,200,3,0.7709554623810244,0.21302377924814767
split_mnist,reservoir_entropy,Reservoir + Entropy-priority,200,4,0.7920164953732238,0.19389598617569864
split_mnist,reservoir_ig,Reservoir + IG-priority,200,0,0.736116037782778,0.2505253766914362
split_mnist,reservoir_ig,Reservoir + IG-priority,200,1,0.7444128069745417,0.24407295121324185
split_mnist,reservoir_ig,Reservoir + IG-priority,200,2,0.684103969343066,0.3021405678223682
split_mnist,reservoir_ig,Reservoir + IG-priority,200,3,0.7660933105188937,0.2163430289615667
split_mnist,reservoir_ig,Reservoir + IG-priority,200,4,0.7531925095574575,0.2342761619617745
